structure,operation,n,avg_time_us
dll_unsorted,max,4000,14.511500
dll_unsorted,min,4000,14.373000
dll_unsorted,predecessor,4000,28.589000
dll_unsorted,successor,4000,31.413500
dll_sorted,search,4000,14.966000
dll_sorted,insert,4000,0.139500
dll_sorted,delete,4000,0.121000
dll_sorted,max,4000,0.008500
dll_sorted,min,4000,0.008500
dll_sorted,predecessor,4000,14.131500
dll_sorted,successor,4000,14.993500
unsorted_array,search,8000,16.473500
unsorted_array,insert,8000,0.009000
unsorted_array,delete,8000,0.042500
unsorted_array,max,8000,33.497500
unsorted_array,min,8000,34.330500
unsorted_array,predecessor,8000,76.507000
unsorted_array,successor,8000,74.848500
sorted_array,search,8000,0.302000
sorted_array,insert,8000,58.206500
sorted_array,delete,8000,27.831500
sorted_array,max,8000,0.004500
sorted_array,min,8000,0.004000
sorted_array,predecessor,8000,0.293500
sorted_array,successor,8000,0.257000
sll_unsorted,search,8000,15.674500
sll_unsorted,insert,8000,0.077000
sll_unsorted,delete,8000,15.443000
sll_unsorted,max,8000,32.458500
sll_unsorted,min,8000,32.736500
sll_unsorted,predecessor,8000,71.814000
sll_unsorted,successor,8000,68.993500
sll_sorted,search,8000,28.657000
sll_sorted,insert,8000,0.097500
sll_sorted,delete,8000,79.858500
sll_sorted,max,8000,55.237000
sll_sorted,min,8000,0.005000
sll_sorted,predecessor,8000,26.485500
sll_sorted,successor,8000,24.711500
dll_unsorted,search,8000,14.718000
dll_unsorted,insert,8000,0.075500
dll_unsorted,delete,8000,0.039500
dll_unsorted,max,8000,29.955500
dll_unsorted,min,8000,30.559500
dll_unsorted,predecessor,8000,62.605500
dll_unsorted,successor,8000,67.744000
dll_sorted,search,8000,27.970500
dll_sorted,insert,8000,0.078500
dll_sorted,delete,8000,0.052500
dll_sorted,max,8000,0.005000
dll_sorted,min,8000,0.004000
dll_sorted,predecessor,8000,27.195000
dll_sorted,successor,8000,28.092500
unsorted_array,search,16000,20.124000
unsorted_array,insert,16000,0.015000
unsorted_array,delete,16000,0.026000
unsorted_array,max,16000,34.668500
unsorted_array,min,16000,42.131500
unsorted_array,predecessor,16000,142.160000
unsorted_array,successor,16000,140.102000
sorted_array,search,16000,0.356500
sorted_array,insert,16000,126.559000
sorted_array,delete,16000,56.885000
sorted_array,max,16000,0.005000
sorted_array,min,16000,0.003500
sorted_array,predecessor,16000,0.320500
sorted_array,successor,16000,0.290000
sll_unsorted,search,16000,29.652500
sll_unsorted,insert,16000,0.077000
sll_unsorted,delete,16000,36.677000
sll_unsorted,max,16000,74.623000
sll_unsorted,min,16000,71.419500
sll_unsorted,predecessor,16000,135.969000
sll_unsorted,successor,16000,135.721500
sll_sorted,search,16000,131.945000
sll_sorted,insert,16000,0.094000
sll_sorted,delete,16000,249.228500
sll_sorted,max,16000,229.198000
sll_sorted,min,16000,0.005000
sll_sorted,predecessor,16000,107.616500
sll_sorted,successor,16000,101.658000
dll_unsorted,search,16000,32.332000
dll_unsorted,insert,16000,0.137500
dll_unsorted,delete,16000,0.046000
dll_unsorted,max,16000,72.472500
dll_unsorted,min,16000,70.649500
dll_unsorted,predecessor,16000,130.662500
dll_unsorted,successor,16000,141.250000
dll_sorted,search,16000,108.496000
dll_sorted,insert,16000,0.149000
dll_sorted,delete,16000,0.072000
dll_sorted,max,16000,0.005000
dll_sorted,min,16000,0.004500
dll_sorted,predecessor,16000,125.071500
dll_sorted,successor,16000,99.629500
unsorted_array,search,32000,37.663000
unsorted_array,insert,32000,0.005500
unsorted_array,delete,32000,0.026000
unsorted_array,max,32000,71.362500
