n,fft_time,naive_time
128,0.001000,0.000000
256,0.001000,0.000000
512,0.002000,0.002000
1024,0.004000,0.010000
2048,0.032000,0.063000
4096,0.025000,0.118000
8192,0.035000,-1.000000
16384,0.070000,-1.000000
