n,selection_reversal_count,selection_reversal_cost,selection_time,mergesort_reversal_count,mergesort_reversal_cost,mergesort_time
100,188,5096,0.000000,603,1958,0.000000
200,392,20410,0.000000,1398,5192,0.000000
400,786,84329,0.001000,3111,13298,0.000000
800,1582,320445,0.002000,6972,32622,0.000000
1600,3182,1233917,0.007000,15951,80326,0.001000
3200,6378,5037493,0.025000,34389,192694,0.002000
6400,12784,20639168,0.093000,75900,460214,0.004000
12800,25580,84213996,0.450000,163395,1074246,0.010000
