n,max_time,first_second_time,mean_time,median_time,stddev_time,mode_time,removeDup_time,reverse_time,partition_time
1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5000,0.000000,0.000000,0.000000,0.001000,0.000000,0.001000,0.001000,0.001000,0.000000
10000,0.000000,0.000000,0.000000,0.003000,0.000000,0.002000,0.002000,0.000000,0.000000
25000,0.000000,0.000000,0.000000,0.006000,0.000000,0.006000,0.006000,0.000000,0.001000
50000,0.001000,0.000000,0.000000,0.012000,0.000000,0.013000,0.013000,0.000000,0.000000
100000,0.001000,0.000000,0.001000,0.026000,0.001000,0.028000,0.025000,0.000000,0.001000
200000,0.001000,0.001000,0.000000,0.051000,0.002000,0.057000,0.051000,0.000000,0.002000
400000,0.001000,0.002000,0.001000,0.207000,0.004000,0.167000,0.099000,0.001000,0.003000
